competitions_id,teamId,team_rank,totalTeams,profile_id_str,flags,team_capacity,members_num
3951,105718,102,632,keiku322;takwat,1,83.86075949,2
3641,105722,190,267,ngutten;nicholaschia,1,28.83895131,2
3951,105766,257,632,puffin;rajkumarb,1,59.33544304,2
3887,105797,171,1784,adrienpapaioannou;denis11,1,90.41479821,2
3887,105822,157,1784,jiweiliu;xueerchen;econoraptor,1,91.19955157,3
7162,1058313,795,1081,paulyang;donghyunlee1;pdashk,1,26.45698427,3
3934,105865,360,717,esarausad;aaronhoffer;davehunn,1,49.79079498,3
3887,105885,447,1784,vladimirm0;maximefr,1,74.94394619,2
3887,105913,435,1784,wijebandara;dracusds123;diunuge,1,75.61659193,3
3951,105974,30,632,adrianhaldenby;haldenby;kristaviola,1,95.25316456,3
3887,105986,1248,1784,flam00;khalilharrane,1,30.04484305,2
3887,106023,436,1784,dulangasashika;nadeeshaangunasinghe;thilinamrt;anushkamahesh1,1,75.56053812,4
3929,106031,96,284,adamkalman;alekseykocherzhenko;henochwong,1,66.1971831,3
3800,106125,135,200,vaibhavpandey1;punitk,1,32.5,2
3951,106126,256,632,ayushrajsingh;rohanrao,1,59.49367089,2
3934,106157,13,717,agdavis;speculation;teracrator,1,98.18688982,3
3887,106182,1192,1784,saichaitanyamanchikatla;varshaa,1,33.1838565,2
3887,106203,1473,1784,juanvazqmont;renegarxia;didiergamboa,1,17.43273543,3
7162,1062063,261,1081,window98;clouddsy,1,75.85568918,2
3951,106251,270,632,minyubb;wangning0,1,57.27848101,2
3934,106301,283,717,vivekvichare;vikasmajjagi,1,60.52998605,2
7043,1063050,57,162,leonardolima;inoridv,1,64.81481481,2
3951,106385,218,632,springcoil;maksudi,1,65.50632911,2
3800,106391,26,200,apurdy;alfrandom,1,87,2
3887,106418,382,1784,abhik1368;tiwaripradeep,1,78.58744395,2
7391,1064292,742,1674,jmcarpenter2;cpcsiszar,1,55.67502987,2
3934,106449,98,717,jiweiliu;xueerchen;maksudi,1,86.33193863,3
3934,106465,321,717,jzegan;trevorkelley;eugenecamus,1,55.23012552,3
7380,1065007,2071,3341,subham2203;tapabrata2009,1,38.01257109,2
3951,106502,69,632,citynight;sherrylau,1,89.08227848,2
3951,106510,111,632,anuzis;ayumi203988;razort,1,82.43670886,3
3951,106559,9,632,madhavkumar2005;anshul;dixitgaurav,1,98.57594937,3
3929,106573,124,284,jiweiliu;xueerchen,1,56.33802817,2
7380,1066091,2186,3341,paultran;zyedpls,1,34.57048788,2
3929,106661,12,284,clustifier;sobrosen,1,95.77464789,2
7082,1066816,1782,5163,acruve15;guizer,1,65.48518303,2
3951,106685,8,632,leustagos;titericz,1,98.73417722,2
7115,1067147,60,626,laurensdlm;tantali,1,90.41533546,2
3929,106880,189,284,caracena;fvildoso,1,33.45070423,2
3951,106950,167,632,thomasatkins;feliperego,1,73.57594937,2
7380,1069645,50,3341,opanichev;igorkrashenyi,1,98.50344208,2
3929,107000,2,284,dremovd;mikhailtrofimov,1,99.29577465,2
7380,1070000,1731,3341,farabi;chifae,1,48.18916492,2
7162,1070311,193,1081,cjwind;silverhugh,1,82.14616096,2
7115,1070426,53,626,vladyslavfedjukov;msemikin;antonpotapchuk,1,91.53354633,3
3929,107071,97,284,vtatulin;ushanov,1,65.84507042,2
3951,107150,6,632,markgoldburd;dmitriyguller,1,99.05063291,2
7380,1071820,42,3341,mathormad;chauhuynh;thuantp;ngoquochung;haimd1801;nhmquang;nguyenbadung,1,98.74289135,7
7162,1072325,379,1081,shashi085;rashmik1990;binnymathew,1,64.93987049,3
7042,1073278,32,260,thibaultperier;alphasy,1,87.69230769,2
7043,1073836,6,162,subho406;amandavinci,1,96.2962963,2
7082,1073904,2976,5163,aringhosh;gusfelhberg;gman300,1,42.35909355,3
7380,1074018,16,3341,truepk;prostoblank;shadastrouant,1,99.52110147,3
3934,107424,149,717,alfiyaismagilova;alexpirozhenko,1,79.21896792,2
7391,1076306,73,1674,nickydebeer;jeroends;gijsreuvers,1,95.63918757,3
7391,1076490,1458,1674,bakshienator;yashuseth,1,12.90322581,2
7391,1077003,1520,1674,raghavansandhya;vivekgopinathlal,1,9.199522103,2
7380,1078770,1471,3341,iguaana;jongssss,1,55.97126609,2
2448,1079,10,55,germanguillermotorres;johannatrujillodiaz11,1,81.81818182,2
7391,1080089,960,1674,puneeth019;rohithl;batmobile,1,42.65232975,3
7391,1080199,500,1674,emmagras;yytina;christophwindheuser;arifwider,1,70.13142174,4
2448,1081,8,55,avehtari;jarnovanhatalo;tuomasnikoskinen,1,85.45454545,3
2448,1082,38,55,simosarkka;jounihartikainen,1,30.90909091,2
7391,1082186,1105,1674,lucianoviola;julioassis,1,33.99044205,2
7163,1083020,507,575,bhanusrivatsav;atminnesota,1,11.82608696,2
3934,108447,187,717,teabone;mbhiggins;aaroningber,1,73.91910739,3
7082,1084616,4776,5163,tanmoychatterjee;siddharthtri,1,7.495642069,2
7380,1085518,707,3341,nishkgp;oostopitre,1,78.83867106,2
7380,1086544,20,3341,bisgsingh;aruncr,1,99.40137683,2
3929,108863,207,284,avanigoe;rajeshmunavalli,1,27.11267606,2
7380,1088785,1119,3341,zhaoxinhu2014;zhongjshi2,1,66.50703382,2
3929,108931,18,284,zhaogang;waltchan,1,93.66197183,2
7380,1089401,2383,3341,bumsookim;blackin77,1,28.67404969,2
7082,1089854,1805,5163,douglasandrade;edhowler,1,65.0397056,2
3951,109052,251,632,esarausad;davehunn,1,60.28481013,2
7380,1092346,1993,3341,dotrang;phubinh,1,40.34720144,2
7391,1092829,319,1674,solomonleung;leolcling;tangor,1,80.94384707,3
3951,109284,55,632,nesterov;ikretus;spoilt,1,91.29746835,3
7380,1093699,2803,3341,amsalahuddin;krisjobs,1,16.10296318,2
3929,109421,67,284,vertix;alexeygusakov,1,76.4084507,2
7162,1096063,513,1081,johnjaychou;zxmmichelle,1,52.5439408,2
7380,1096453,245,3341,ksaranya;aspillai;sruthikolla,1,92.66686621,3
3951,109692,496,632,alicesadventures;josephficek,1,21.51898734,2
7380,1097075,674,3341,cashfeg;nakamichi;wasizu;yukari17;kentay;solisolid,1,79.82639928,6
7391,1097463,1617,1674,quantumdamage;dragonassi,1,3.405017921,2
7380,1097499,284,3341,pengyan;shixw125;damonchen,1,91.49955103,3
7634,1098129,5,1314,seanjv;ttagu99,1,99.6194825,2
7634,1098235,4,1314,titericz;gamers5a;pavelost;dmytropoplavskiy;heyt0ny,1,99.695586,5
7380,1098274,3093,3341,zjclgoforpython;weinan,1,7.422927267,2
7082,1098284,2586,5163,dzjkb1;undun11,1,49.91284137,2
7391,1098513,231,1674,meli19;qinhui1999,1,86.20071685,2
7634,1098823,548,1314,palsol;belkakari,1,58.29528158,2
7162,1099505,166,1081,eincostein;crazymutt,1,84.64384829,2
7634,1099674,32,1314,mikhail123;scitator;alexozerin,1,97.56468798,3
7634,1099902,88,1314,opanichev;igorkrashenyi,1,93.30289193,2
7634,1100048,1016,1314,danielseetoh;sngguojie;jkok005,1,22.67884323,3
7634,1100377,566,1314,interesting;solomonk,1,56.92541857,2
6775,1100479,31,518,yanzhicong;vachelch,1,94.01544402,2
7163,1100658,172,575,victorfour;akpenou,1,70.08695652,2
7634,1100724,552,1314,jiaxinyu;cloudrainstar,1,57.99086758,2
7634,1100945,815,1314,bonga1;brightertiger,1,37.97564688,2
7634,1101039,1,1314,hengck23;ryansun;seesee,1,99.9238965,3
7634,1101319,546,1314,ybonde;mehtasaransh,1,58.44748858,2
7380,1101389,1200,3341,christophschmidl;chriskamphuis;scotwolf,1,64.08261,3
7634,1101851,580,1314,jabors;edelgadop,1,55.85996956,2
7634,1102116,220,1314,tanderton;brikim,1,83.25722983,2
7634,1102598,57,1314,altourus;szarko;synkrohnus,1,95.66210046,3
7634,1102650,634,1314,farmani60;nasser1941,1,51.75038052,2
7634,1103013,529,1314,barisercan;ftkurt,1,59.7412481,2
7634,1103182,843,1314,amirlavasani;zaghaghi,1,35.84474886,2
7634,1103498,137,1314,whiteworld;ultimate010,1,89.5738204,2
7380,1103991,1692,3341,jaydentan;tingyao;jeffreyeffendy,1,49.3564801,3
2606,11062,7,238,nschneider;biasvariance,1,97.05882353,2
7082,1106419,91,5163,sokolovyaroslav;immortalturtle;sergeyspbu16,1,98.23745884,3
7634,1106424,837,1314,pkhlop;akhloponin,1,36.30136986,2
7634,1108356,56,1314,ouranos;voglinio;andreaslup,1,95.73820396,3
3934,110851,334,717,mlwhiz;roopaligupta,1,53.41701534,2
7634,1108527,21,1314,douglasandrade;edhowler,1,98.40182648,2
2606,11087,142,238,john63208;roberthenson,1,40.33613445,2
7380,1109347,709,3341,damngamerz;aptrishu,1,78.77880874,2
7634,1109357,9,1314,jandjenter;ildoonet,1,99.31506849,2
7380,1109567,1043,3341,wizziee;gabfil;ginterhauser,1,68.78180186,3
7634,1109603,112,1314,nathanielmeyer;bachiraoun,1,91.47640791,2
7391,1109633,57,1674,omniactio;arjunb98,1,96.59498208,2
7634,1110918,49,1314,neongen;rhgrossm,1,96.27092846,2
3929,111110,15,284,mikesev;kazanova,1,94.71830986,2
7634,1111413,299,1314,barbolo;adrianodennanni,1,77.24505327,2
3887,111147,1304,1784,photovoltaic;davidchi,1,26.9058296,2
7634,1111595,8,1314,zfturbo;mifril;twoleggedeye;shvetsiya;alexradionov,1,99.39117199,5
7163,1112119,111,575,monsieurwagner;kqhoffmann;khujsak,1,80.69565217,3
7380,1112330,1240,3341,longyunguo;naihemxy77,1,62.88536366,2
2496,11128,366,1350,hanwang;kilian0,1,72.88888889,2
7634,1113521,988,1314,davidjp;jespinosalo,1,24.80974125,2
7634,1113596,743,1314,jagadeesh09;harshbhate,1,43.45509893,2
3887,111362,417,1784,maheshakya;thilinarathnayake;thimalk;channagayan,1,76.62556054,4
7082,1114010,2569,5163,nasibullah;matrixb,1,50.2421073,2
7380,1114426,792,3341,ricocotam;vievie31,1,76.2945226,2
7380,1115278,434,3341,bartek80;lpiepiora,1,87.00987728,2
2496,11155,145,1350,andyw27470;tonyw27521,1,89.25925926,2
7380,1115534,366,3341,nkarst;ben0where,1,89.04519605,2
3800,111571,15,200,phillipadkins;drewabbot,1,92.5,2
3887,111600,304,1784,alexk56764;sosowave,1,82.95964126,2
7115,1117869,46,626,tereka;paultodo,1,92.65175719,2
3887,111858,41,1784,jeffreydf;kn1223692,1,97.70179372,2
7559,1118842,283,2382,isaienkov;pluchme,1,88.11922754,2
7559,1119145,63,2382,bguberfain;paulorzp,1,97.35516373,2
7559,1119528,1,2382,lopuhin;paweljankiewicz,1,99.95801847,2
7559,1120479,8,2382,sergeifironov;rdizzl3,1,99.66414777,2
7559,1120658,83,2382,apapiu;luisgarcia,1,96.51553317,2
7634,1120678,124,1314,bochen0909;lzs0047,1,90.56316591,2
7559,1121116,98,2382,aerohack;spsanps;amlanpraharaj,1,95.88581024,3
7559,1121232,1896,2382,springmanndaniel;slavax,1,20.40302267,2
3934,112219,512,717,jordanatlas;ananikiforova;michaelluk,1,28.59135286,3
7082,1122708,5150,5163,fabiopedroso;lisandrorodrigues,1,0.251791594,2
7559,1123235,695,2382,mbalcerzak;kaszmar;tomasz2137;drallieen,1,70.82283795,4
7559,1123588,48,2382,gphilippis;neongen,1,97.98488665,2
7634,1123633,141,1314,lameiro;ekonishi,1,89.26940639,2
3887,112409,525,1784,anuzis;ayumi203988,1,70.57174888,2
7559,1124886,18,2382,thakurrajanand;peterhurford,1,99.24433249,2
7559,1125342,1172,2382,raijisse;dionysosong,1,50.79764903,2
7559,1125414,2231,2382,tadassubonis;sensus,1,6.339210747,2
7634,1125655,260,1314,dimart;seasons4,1,80.2130898,2
7380,1125909,846,3341,piushvaish;monodavids,1,74.67824005,2
7559,1126085,830,2382,jaztriumph;csoni11,1,65.15533165,2
7559,1127008,144,2382,puffin;rajatpaliwal;jeru666,1,93.95465995,3
7380,1127482,48,3341,peterprinsen;pietervo;andygoe,1,98.5633044,3
7559,1127727,99,2382,vvankrunkelsven;adriaanslechten,1,95.84382872,2
7559,1127936,1162,2382,yaserkhalighi;fshakib,1,51.21746432,2
7559,1128077,1211,2382,skyp1729;zenravs,1,49.16036944,2
7559,1128991,1538,2382,sumansai14;bharadwaj6,1,35.43240974,2
3934,112936,499,717,iraquitan;hscleandro,1,30.40446304,2
7559,1130016,1272,2382,code1110;snagaoka,1,46.59949622,2
7559,1130063,43,2382,rafonseca;jeandarolt,1,98.19479429,2
7634,1131380,1024,1314,bonjosefala;donald438,1,22.07001522,2
7634,1132157,646,1314,attilatovt;romantymchyshyn,1,50.83713851,2
3887,113366,192,1784,ashish30542;nhanitvn,1,89.23766816,2
7559,1133729,2372,2382,bohdan;kulishyurii,1,0.419815281,2
7559,1134626,1237,2382,fatihdereli;kazimanil,1,48.06884971,2
7634,1135081,1176,1314,manikhanuja;tejasshahpuri,1,10.50228311,2
7634,1136440,1215,1314,quantumdamage;dragonassi,1,7.534246575,2
7559,1136491,1383,2382,quantumdamage;dragonassi,1,41.9395466,2
7559,1137103,310,2382,iharrubanau0;denisvodchyts,1,86.98572628,2
7380,1137740,2211,3341,sarker;mhjabreel;vivek2390;adelsaleh,1,33.82220892,4
7380,1140407,2185,3341,nithishify;solanki,1,34.60041904,2
7559,1140745,958,2382,odarka;dimasakovich;olesiaslabchenko,1,59.78169605,3
7634,1141642,649,1314,alespalla;gionatabenelli,1,50.60882801,2
7559,1142056,97,2382,alluxia;genixpro,1,95.92779177,2
7277,1142595,344,2157,qinhui1999;chinedunwoye,1,84.05192397,2
7380,1142752,53,3341,damienhen;cooperscoupe;edmacha93;jnnerd,1,98.41364861,4
7559,1142816,10,2382,qwang88;jiweiliu;xiaozhouwang;kelexu;qqgeogor;fengari;rvdgeer;chlxyd,1,99.58018472,8
7277,1143392,57,2157,mlandry;brandenkmurray,1,97.35744089,2
7634,1143400,514,1314,kgmonthar;myatthuhein;yeyinthtoon,1,60.88280061,3
7277,1143401,252,2157,prashanth1994;prashanththangavel,1,88.31710709,2
7277,1143548,335,2157,sergeifironov;nvarganov;znyksh,1,84.46917014,3
3960,114424,89,504,jiweiliu;xueerchen;haox364,1,82.34126984,3
3960,114499,24,504,peishenwu;ricklin;tingyilin1;cynthiatsai,1,95.23809524,4
7277,1144990,1617,2157,mhajabri;redouanelg,1,25.03477051,2
2452,1145,2,42,leebaker;jhoward,1,95.23809524,2
3966,114692,89,1231,as6229905;leonardoramirezlopez,1,92.77010561,2
3966,114694,80,1231,maksudi;sheidari,1,93.50121852,2
3966,114707,3,1231,miwanowski;datarat;robibok;marian,1,99.75629569,4
3966,114771,5,1231,domcastro;kazanova,1,99.59382616,2
3887,114793,179,1784,tloinuy;wonstin,1,89.96636771,2
7277,1148084,313,2157,ermolushka;rocketscience,1,85.48910524,2
3966,114828,35,1231,alexxanderlarko;dmitrylarko,1,97.1567831,2
7277,1148543,34,2157,yiheng;excuses;a1339398734;zhoukj,1,98.42373667,4
7391,1148562,45,1674,zavodrobotov;rekcahd,1,97.31182796,2
7559,1148566,38,2382,vitaliiperetiatko;rekcahd;kingarthur7,1,98.40470193,3
7277,1148634,502,2157,crimsonlander;laidak,1,76.72693556,2
7559,1148834,360,2382,finlay;shenjiawei,1,84.88664987,2
7277,1148966,1820,2157,quantumdamage;dragonassi,1,15.62355123,2
3966,114923,475,1231,felix7;isaacflath;danevans1,1,61.41348497,3
7277,1150227,1966,2157,danpark;kgibson;apjansing;cnrider,1,8.854891052,4
7380,1150283,860,3341,dukachan;yhkw20,1,74.25920383,2
7277,1150444,2033,2157,kayaman;gmorlima;marimoura,1,5.748725081,3
7277,1150463,2074,2157,mengyuge;charleyang,1,3.847936949,2
7277,1150473,1391,2157,janosk21;vikramsoni2,1,35.51228558,2
3960,115072,80,504,achintye;rishiraj0;ishag254090,1,84.12698413,3
3934,115076,229,717,nishkgp;rlnbharadwaj,1,68.06136681,2
7277,1151920,507,2157,normeow;romach,1,76.49513213,2
7559,1152186,239,2382,kashnitsky;andreygurevich,1,89.96641478,2
7380,1152547,76,3341,zeonsunlight;yiheng;latover,1,97.72523197,3
3960,115279,26,504,cedricgp;alexandrebarachant;rafalcycon,1,94.84126984,3
7634,1152870,352,1314,nscozzaro;rtmitch,1,73.21156773,2
3934,115314,190,717,ilyakor;alexeygusakov,1,73.50069735,2
7380,1153856,554,3341,eliotbarr;otmanesakhi,1,83.41813828,2
7634,1154119,114,1314,jodles;ondrejklejch;curly1,1,91.32420091,3
3966,115452,154,1231,chandrad;krishnajallam,1,87.48984565,2
7380,1154662,1324,3341,frettapper;seankoors,1,60.37114636,2
7277,1154706,710,2157,amaotone;sugawarya,1,67.08391284,2
3966,115481,653,1231,ankitj;sneharunwal,1,46.95369618,2
3966,115505,555,1231,dixitgaurav;bhuwandhingra,1,54.91470349,2
7559,1155472,1668,2382,rwexler;levaniz,1,29.97481108,2
7391,1155530,64,1674,rashmibanthia;pvlima;stevenknguyen;aharless;saurabhvyas;learnmower,1,96.17682198,6
