competitions_id,teamId,team_rank,totalTeams,profile_id_str,flags,team_capacity,members_num,avg_abi,avg_qua,avg_par,country_num
14313,3233660,201,2749,raphaelsourty;adilztn,1,92.69 ,2,0.89 ,1334.50 ,9.00 ,1
14239,3233821,1578,1832,ch1nm4y;uysimty,1,13.86 ,2,0.41 ,1152.50 ,2.50 ,2
5048,323403,1321,1438,nerrull;gregorpatof,1,8.14 ,2,0.01 ,1873.00 ,1.00 ,1
5229,323472,305,399,apapiu;jrbums,1,23.56 ,2,1.78 ,1990.00 ,13.00 ,1
14313,3236347,1905,2749,hedgehoginfog;ellunium,1,30.70 ,2,0.65 ,1264.50 ,11.00 ,2
14313,3236617,144,2749,anandselvadurai;venkig,1,94.76 ,2,1.02 ,1213.00 ,18.50 ,1
5048,323750,553,1438,mehdis;kelvinm,1,61.54 ,2,0.01 ,2307.00 ,3.50 ,1
14313,3237896,1986,2749,varanr;khandalaryan,1,27.76 ,2,0.17 ,1067.50 ,4.50 ,1
5048,324317,540,1438,hlynurd;schmitzl,1,62.45 ,2,0.01 ,1824.00 ,1.00 ,2
14239,3243182,142,1832,steliosgian;deffro,1,92.25 ,2,0.60 ,1014.50 ,5.50 ,2
14313,3243311,175,2749,huutrinh;tonthatnam,1,93.63 ,2,1.17 ,1010.00 ,15.00 ,1
12500,3243970,106,3165,lopuhin;blackitten13;artkulak,1,96.65 ,3,3.70 ,2050.67 ,34.33 ,1
14239,3244417,351,1832,jupact;ziweilu;lifanzhangwustl,1,80.84 ,3,0.18 ,1340.00 ,4.00 ,1
5056,324448,1462,1971,aojiao;kyleliang;qihong051,1,25.82 ,3,0.02 ,1836.67 ,1.67 ,1
14239,3245691,370,1832,zen1112000;tsuneto210,1,79.80 ,2,0.47 ,1088.00 ,7.00 ,1
14313,3246236,192,2749,egizzz;jameschapman19;huakhay,1,93.02 ,3,0.20 ,1001.67 ,3.00 ,1
5174,324704,15,546,dansheb;dshulchevdkii,1,97.25 ,2,0.16 ,1880.00 ,3.50 ,1
5056,324736,333,1971,callmek;zhichengwei;yzq0407,1,83.11 ,3,0.02 ,1879.33 ,1.00 ,1
12500,3247765,148,3165,r3dfear;dracula2511,1,95.32 ,2,0.81 ,735.00 ,7.00 ,1
14315,3248086,282,558,konradb;abhishek;aakashnain,1,49.46 ,3,35.47 ,3198.33 ,104.00 ,3
14315,3248240,12,558,georgepashchenko;alexkirnas,1,97.85 ,2,1.65 ,1983.50 ,11.50 ,1
14315,3248348,38,558,olzhasnu;vadiksadik,1,93.19 ,2,1.10 ,1745.00 ,14.50 ,2
14239,3249075,576,1832,kueipo;zioncheng,1,68.56 ,2,1.42 ,1506.00 ,16.50 ,1
12500,3250403,882,3165,giginim;chfly2000,1,72.13 ,2,0.04 ,1571.00 ,4.50 ,1
5056,325100,1818,1971,yeounoh;ckddyd777,1,7.76 ,2,0.02 ,2341.00 ,2.00 ,2
14313,3251480,1523,2749,bharath64;lollmao9119,1,44.60 ,2,0.18 ,899.00 ,2.00 ,1
5056,325196,1318,1971,jcingel;ordinator,1,33.13 ,2,0.02 ,1816.00 ,1.00 ,1
14315,3252600,384,558,mpsampat;sairam6087,1,31.18 ,2,0.87 ,1868.00 ,23.50 ,1
3288,32534,187,223,csdaqing;huchen,1,16.14 ,2,0.02 ,3285.00 ,9.00 ,1
5174,325398,204,546,antoninarusakova;rusakovps,1,62.64 ,2,0.19 ,2001.50 ,18.50 ,1
12500,3254524,2089,3165,timctran;akarami,1,34.00 ,2,0.05 ,2115.00 ,2.00 ,1
5229,325466,26,399,mostafa65;amirnajafi1990;damoon,1,93.48 ,3,0.16 ,1816.33 ,1.33 ,1
5174,325536,1,546,stasg7;u1234x1234,1,99.82 ,2,15.50 ,2676.50 ,43.50 ,1
14313,3255557,153,2749,qulu126610;barnwellguy,1,94.43 ,2,0.99 ,1996.50 ,6.50 ,1
12500,3256229,171,3165,danilds;samerfatayri,1,94.60 ,2,0.25 ,2487.50 ,9.00 ,2
14315,3257019,7,558,nicksergievskiy;weimin;zfturbo;kingarthur7;golubev,1,98.75 ,5,11.11 ,1986.00 ,57.80 ,4
14313,3257371,362,2749,sukrullex;ardaasik;ilaydaizci,1,86.83 ,3,0.18 ,880.00 ,5.00 ,1
14315,3259353,40,558,fengziyuan;cocozhao,1,92.83 ,2,0.45 ,841.50 ,3.50 ,1
14313,3260796,386,2749,unkonwfish;jizimingkaggle,1,85.96 ,2,0.24 ,1072.00 ,7.50 ,1
5174,326082,37,546,dimon0981;bezhin,1,93.22 ,2,0.16 ,2435.00 ,3.50 ,1
14313,3261158,506,2749,deepaksinghrawat;crazydiv,1,81.59 ,2,2.54 ,2041.50 ,44.00 ,1
3288,32630,22,223,konradb;rkirana,1,90.13 ,2,10.31 ,3693.00 ,79.00 ,2
5056,326372,998,1971,theamazingdrew;collinburton,1,49.37 ,2,0.02 ,2483.50 ,2.00 ,1
14239,3264207,596,1832,ishivinal;zikazika,1,67.47 ,2,2.10 ,1361.50 ,18.50 ,2
5056,326435,67,1971,edchow;lazyzergling,1,96.60 ,2,0.38 ,2060.00 ,6.50 ,1
5056,326529,912,1971,lses40311;gryieuy462,1,53.73 ,2,0.02 ,1940.00 ,1.50 ,1
3288,32665,85,223,abundrew;antoshkaplus,1,61.88 ,2,0.32 ,3073.00 ,5.50 ,1
3288,32676,93,223,irishsteve;adalovelace,1,58.30 ,2,0.02 ,3070.50 ,3.00 ,2
14313,3267846,2302,2749,daood911;ishaan45,1,16.26 ,2,0.25 ,1306.00 ,5.50 ,1
